iter	Logloss
0	0.6848559246
1	0.6741969091
2	0.6640735683
3	0.6540959992
4	0.6448941156
5	0.6360472958
6	0.6277837391
7	0.6190261916
8	0.6097691526
9	0.601151134
10	0.5920161976
11	0.5845827003
12	0.5761245497
13	0.5683111748
14	0.5601211511
15	0.5516662349
16	0.5449328891
17	0.5381299589
18	0.5316886483
19	0.5254421267
20	0.5183712298
21	0.5121216081
22	0.5059068084
23	0.4992170546
24	0.492600294
25	0.4854478056
26	0.4792360547
27	0.4726530299
28	0.4660358502
29	0.4604283186
30	0.4558123005
31	0.4495707551
32	0.4444683365
33	0.4391269114
34	0.4341285031
35	0.4287024582
36	0.4230374367
37	0.4170660772
38	0.4110312749
39	0.4060423354
40	0.4008281336
41	0.3965083535
42	0.3915546443
43	0.3863122314
44	0.38239182
45	0.3778943833
46	0.3730666596
47	0.3696615899
48	0.3664805105
49	0.3624796965
50	0.3574730619
51	0.353097308
52	0.3487507656
53	0.3444940831
54	0.3407925917
55	0.3362804909
56	0.3320710649
57	0.3277376568
58	0.3241020544
59	0.3200383083
60	0.3166268998
61	0.3126126641
62	0.3090219003
63	0.3055535107
64	0.3021197402
65	0.2983017685
66	0.2949660535
67	0.292077732
68	0.2887323862
69	0.2855746583
70	0.2825864358
71	0.279968789
72	0.2768231401
73	0.2735029778
74	0.2710661762
75	0.2688511384
76	0.2663009622
77	0.2638116882
78	0.26123224
79	0.2584967982
80	0.2558662865
81	0.2536376562
82	0.2509553489
83	0.2487384114
84	0.2464302576
85	0.2448418296
86	0.2427098203
87	0.2403357504
88	0.2379737362
89	0.2360152614
90	0.233687351
91	0.2315754177
92	0.2289046836
93	0.2272813616
94	0.2251611443
95	0.2233866344
96	0.2215107145
97	0.2199427899
98	0.2181922765
99	0.2159187694
100	0.2142295499
101	0.2123139247
102	0.2105118305
103	0.2090601815
104	0.2071683988
105	0.2052754336
106	0.203362011
107	0.2014190593
108	0.1997248907
109	0.1978800828
110	0.1966352556
111	0.194879319
112	0.1929630543
113	0.1914684537
114	0.1902634599
115	0.1886460602
116	0.1872343253
117	0.1858271599
118	0.1839852542
119	0.1822832222
120	0.1809711934
121	0.179503491
122	0.1779747972
123	0.1764248852
124	0.1753172672
125	0.17403854
126	0.1726824636
127	0.17139683
128	0.1702674704
129	0.1691988245
130	0.1678740211
131	0.166845059
132	0.1656074152
133	0.1643261541
134	0.1635128728
135	0.1624091143
136	0.1613829637
137	0.1601550337
138	0.1588981982
139	0.1578954853
140	0.156847197
141	0.1559528697
142	0.1548636229
143	0.1537889079
144	0.1525567634
145	0.151475479
146	0.1503416612
147	0.1491400296
148	0.1480465573
149	0.1468189835
150	0.1461631926
151	0.1452296139
152	0.144262274
153	0.1432472916
154	0.142197935
155	0.1411429328
156	0.1402683192
157	0.1394813947
158	0.1386052075
159	0.1377613432
160	0.1366648249
161	0.1356934485
