iter	Passed	Remaining
594	2989	2035
595	2994	2029
596	2999	2024
597	3004	2019
598	3008	2014
599	3013	2008
600	3017	2003
601	3022	1998
602	3027	1992
603	3031	1987
604	3036	1982
605	3041	1977
606	3045	1972
607	3050	1966
608	3055	1961
609	3059	1956
610	3064	1950
611	3068	1945
612	3073	1940
613	3078	1935
614	3082	1929
615	3087	1924
616	3092	1919
617	3096	1914
618	3101	1909
619	3106	1903
620	3110	1898
621	3115	1893
622	3120	1888
623	3125	1883
624	3129	1877
625	3134	1872
626	3139	1867
627	3143	1862
628	3148	1857
629	3153	1852
630	3158	1846
631	3162	1841
632	3167	1836
633	3171	1831
634	3176	1825
635	3181	1820
636	3185	1815
637	3190	1810
638	3196	1805
639	3201	1800
640	3206	1795
641	3211	1790
642	3215	1785
643	3220	1780
644	3224	1774
645	3229	1769
646	3234	1764
647	3238	1759
648	3243	1754
649	3248	1749
650	3253	1743
651	3257	1738
652	3262	1733
653	3267	1728
654	3271	1723
655	3276	1718
656	3281	1712
657	3285	1707
658	3290	1702
659	3295	1697
660	3299	1692
661	3304	1687
662	3309	1681
663	3313	1676
664	3318	1671
665	3323	1666
666	3328	1661
667	3332	1656
668	3337	1651
669	3342	1646
670	3347	1641
671	3351	1635
672	3356	1630
673	3360	1625
674	3365	1620
675	3370	1615
676	3375	1610
677	3380	1605
678	3384	1600
679	3389	1595
680	3393	1589
681	3398	1584
682	3403	1579
683	3408	1574
684	3413	1569
685	3418	1564
686	3422	1559
687	3427	1554
688	3432	1549
689	3436	1544
690	3441	1538
691	3445	1533
692	3450	1528
693	3455	1523
694	3460	1518
695	3464	1513
696	3469	1508
697	3475	1503
698	3481	1499
699	3486	1494
700	3492	1489
701	3498	1484
702	3502	1479
703	3507	1474
704	3512	1469
705	3517	1464
706	3521	1459
707	3527	1454
708	3533	1450
709	3538	1445
710	3543	1440
711	3549	1435
712	3554	1430
713	3560	1426
714	3566	1421
715	3572	1416
716	3576	1411
717	3581	1406
718	3587	1401
719	3591	1396
720	3596	1391
721	3601	1386
722	3606	1381
723	3610	1376
724	3615	1371
725	3620	1366
726	3625	1361
727	3629	1356
728	3634	1351
729	3639	1346
730	3644	1341
731	3649	1335
732	3653	1330
733	3658	1325
734	3662	1320
735	3667	1315
736	3672	1310
737	3677	1305
738	3682	1300
739	3687	1295
740	3691	1290
741	3696	1285
742	3701	1280
743	3705	1275
744	3710	1270
745	3715	1264
746	3720	1259
747	3724	1254
748	3729	1249
749	3733	1244
750	3738	1239
751	3742	1234
752	3747	1229
753	3752	1224
754	3757	1219
755	3761	1214
756	3766	1209
757	3770	1203
758	3775	1198
759	3780	1193
760	3785	1188
761	3790	1183
762	3794	1178
763	3799	1173
764	3804	1168
765	3808	1163
766	3813	1158
767	3818	1153
768	3823	1148
769	3827	1143
770	3832	1138
771	3837	1133
772	3841	1128
773	3846	1123
774	3851	1118
775	3855	1113
776	3860	1108
777	3865	1102
778	3869	1097
779	3874	1092
780	3879	1087
781	3884	1082
782	3888	1077
783	3893	1072
784	3898	1067
785	3902	1062
786	3907	1057
787	3912	1052
788	3916	1047
789	3921	1042
790	3926	1037
791	3931	1032
792	3936	1027
793	3941	1022
794	3946	1017
795	3950	1012
796	3955	1007
797	3959	1002
798	3964	997
799	3969	992
800	3973	987
801	3978	982
802	3983	977
803	3987	972
804	3992	967
805	3997	962
806	4001	957
807	4006	952
808	4011	947
809	4016	942
810	4021	937
811	4025	932
812	4030	927
813	4034	921
814	4039	916
815	4044	911
816	4048	906
817	4053	901
818	4058	896
819	4063	891
820	4067	886
821	4072	881
822	4077	876
823	4081	871
824	4086	866
825	4090	861
826	4095	856
827	4100	851
828	4104	846
829	4109	841
830	4114	836
831	4118	831
832	4123	826
833	4128	821
834	4132	816
835	4137	811
836	4141	806
837	4146	801
838	4151	796
839	4155	791
840	4160	786
841	4164	781
842	4169	776
843	4174	771
844	4179	766
845	4183	761
846	4188	756
847	4193	751
848	4197	746
849	4202	741
850	4207	736
851	4211	731
852	4216	726
853	4221	721
854	4225	716
855	4230	711
856	4235	706
857	4240	701
858	4245	696
859	4250	691
860	4255	686
861	4260	682
862	4265	677
863	4269	672
864	4274	667
865	4279	662
866	4284	657
867	4289	652
868	4294	647
869	4299	642
870	4304	637
871	4310	632
872	4317	628
873	4323	623
874	4328	618
875	4334	613
876	4338	608
877	4343	603
878	4348	598
879	4354	593
880	4359	588
881	4364	583
882	4369	578
883	4374	573
884	4378	569
885	4383	564
886	4388	559
887	4393	554
888	4397	549
889	4402	544
890	4407	539
891	4412	534
892	4418	529
893	4423	524
894	4428	519
895	4433	514
896	4438	509
897	4443	504
898	4447	499
899	4452	494
900	4457	489
901	4462	484
902	4467	479
903	4472	474
904	4477	469
905	4481	465
906	4486	460
907	4491	455
908	4496	450
909	4501	445
910	4506	440
911	4510	435
912	4515	430
913	4521	425
914	4526	420
915	4531	415
916	4536	410
917	4541	405
918	4546	400
919	4551	395
920	4556	390
921	4561	385
922	4566	380
923	4571	375
924	4575	371
925	4580	366
926	4585	361
927	4590	356
928	4595	351
929	4600	346
930	4604	341
931	4609	336
932	4614	331
933	4618	326
934	4623	321
935	4627	316
936	4632	311
937	4637	306
938	4641	301
939	4646	296
940	4651	291
941	4656	286
942	4661	281
943	4666	276
944	4671	271
945	4676	266
946	4681	261
947	4686	257
948	4690	252
949	4695	247
950	4700	242
951	4704	237
952	4709	232
953	4713	227
954	4718	222
955	4723	217
956	4727	212
957	4732	207
958	4736	202
959	4741	197
960	4746	192
961	4750	187
962	4755	182
963	4760	177
964	4764	172
965	4769	167
966	4774	162
967	4778	157
968	4783	153
969	4788	148
970	4793	143
971	4797	138
972	4802	133
973	4807	128
974	4812	123
975	4817	118
976	4821	113
977	4826	108
978	4831	103
979	4836	98
980	4840	93
981	4845	88
982	4849	83
983	4854	78
984	4859	73
985	4863	69
986	4868	64
987	4872	59
988	4877	54
989	4881	49
990	4886	44
991	4891	39
992	4895	34
993	4900	29
994	4905	24
995	4909	19
996	4914	14
997	4919	9
998	4923	4
999	4928	0
